CustomerID,Title,FirstInitial,Surname,Age,Location,OccupationType,Industry,YearsInCurrentEmployment,NumPreviousEmployments,TotalIncome,TaxableIncome,TaxPaid,EffectiveTaxRate,UnionSubs,Fraud
1,Mrs.,A,Boyle,29,Dublin,Employed,Finance,3.41,4,29189.63,26266.72,5253.34,0.179972819,No,No
2,Mrs.,L,McIntosh,41,Leinster (Other),Employed,Transport,12.41,2,28817.9,27107.49,5421.5,0.1881296,Yes,No
3,Mrs.,T,Graham,45,Munster,Employed,Public Sector,26.52,2,33295.9,32034.02,6406.8,0.192420088,Yes,No
4,Mrs.,P,Miller,49,Leinster (Other),Self-Employed,Professional,21.76,5,65901.91,60494.01,17914.54,0.271836431,No,No
5,Mr.,A,Henderson,44,Leinster (Other),Employed,Retail,12.02,1,66955.36,57323.67,16614.7,0.248145929,No,No
6,Ms.,L,McDonald,43,Connacht,Self-Employed,Public Sector,12.76,1,23202.51,19757.37,3951.47,0.170303558,Yes,No
7,Mr.,L,Hay,47,Leinster (Other),Employed,Public Sector,17.98,1,32649.23,30935.7,6187.14,0.189503397,Yes,No
8,Mrs.,J,Ross,47,Leinster (Other),Employed,Retail,15.04,2,54081.74,47562.64,12612.68,0.23321513,Yes,No
9,Mr.,T,Atkinson,29,Leinster (Other),Employed,Finance,4.05,3,46977.7,40434.17,9690.01,0.206268293,No,No
10,Mr.,D,Smart,42,Dublin,Employed,Public Sector,10.73,2,19717.68,17457.23,3491.45,0.177072049,Yes,No
11,Mrs.,A,Brown,36,Dublin,Employed,IT,3.44,7,33370.33,28711.27,5742.25,0.172076512,No,Yes
12,Mr.,I,Howard,38,Connacht,Self-Employed,Agriculture,16.58,2,29627.22,26445.34,5289.07,0.178520631,No,Yes
13,Mrs.,L,King,42,Munster,Self-Employed,Agriculture,,3,18179.87,17729.41,3545.88,0.195044299,No,No
14,Mrs.,C,Gilbert,27,Dublin,Self-Employed,IT,1.67,1,44288.01,39080.3,9134.92,0.206261695,No,No
15,Mrs.,J,Kelly,46,Dublin,Employed,Public Sector,15.34,2,24478.06,22257.94,4451.59,0.181860409,Yes,No
16,Ms.,P,Sinclair,41,Leinster (Other),Employed,Public Sector,16.59,2,16644.53,14961.61,2992.32,0.179777981,Yes,No
17,Mrs.,C,Sutherland,33,Dublin,Employed,Construction,7.87,2,65534.41,58022.87,16901.38,0.257900849,Yes,No
18,Mr.,N,McGregor,37,Dublin,Self-Employed,Transport,1.65,7,53143.73,52800.05,14760.02,0.27773775,No,No
19,Ms.,C,Hunter,29,,Self-Employed,IT,2.8,7,64072.49,56998.16,16481.25,0.25722818,No,No
20,Mrs.,E,Taylor,38,Leinster (Other),Employed,Public Sector,9.68,2,33199.52,28648.84,5729.77,0.172585929,Yes,No
21,Mrs.,K,Riley,35,Leinster (Other),Self-Employed,Public Sector,14.12,2,26372.88,25447.47,5089.49,0.192981957,Yes,No
22,Mr.,M,McDonald,45,Dublin,Employed,Retail,14.59,2,39018.19,37671.63,8557.37,0.219317452,Yes,No
23,Ms.,C,Sutherland,42,Dublin,Self-Employed,Public Sector,12.5,2,17902.19,15755.07,3151.01,0.176012544,Yes,No
24,Mr.,J,Cooper,47,Munster,Self-Employed,Agriculture,24.68,2,41363.05,38011.11,8696.56,0.210249486,,Yes
25,Mr.,J,McIntyre,31,Munster,Self-Employed,Finance,4.52,6,46317.9,40355.67,9657.82,0.208511612,No,No
26,Mr.,C,Gill,33,Munster,Employed,Transport,3.74,7,38519.15,37296.71,8403.65,0.218168106,No,No
27,Ms.,L,Nicholls,,Leinster (Other),Employed,Public Sector,11.06,2,40118.54,34270.82,7163.04,0.178546876,Yes,No
